1024 1 M
 -0.482566 -0.557320 -0.504401 -0.647333
 0.112688 0.064204 0.042875 -2.315884
 -0.424963 -0.089291 0.002222 -0.045411
 -0.526600 -0.756283 -0.650629 2.086382
 -0.936879 -0.059150 -0.297754 0.224639
 -0.060175 0.151380 -0.349874 0.394642
 -1.091861 -0.937819 -1.069339 0.245918
 -0.382722 -1.094774 -0.613936 -0.065644
 0.141058 -0.162138 -0.460462 -0.227066
 -0.113360 -0.699019 -0.120438 0.971954
 -0.914104 -0.856316 -0.010764 0.819225
 -0.628691 -0.086201 -0.600608 -0.465349
 -0.786046 -0.306127 -0.238871 1.326387
 -0.342213 -0.505654 -0.757000 -1.364681
 -0.721203 -0.769352 -0.272607 1.108694
 -0.031445 -0.173241 -0.343616 -1.104229
 -0.867147 -0.990952 -0.500429 -0.547766
 -0.218293 -0.161786 0.166936 -0.366932
 0.101303 0.170645 -0.881265 -1.443351
 -0.664784 -0.371900 0.025329 -1.109830
 -0.915456 0.185812 -0.595266 1.247021
 -0.968068 0.106557 -0.022374 0.536147
 -0.881203 -0.452018 -0.630441 0.266632
 -1.049161 0.179759 0.093131 0.122591
 -0.908683 0.109206 -0.696856 1.391064
 -0.239472 -1.016501 -0.392468 1.334302
 -0.354367 -1.026870 -0.606723 -0.688636
 -0.657372 -0.922110 -0.915464 0.277357
 -0.985486 -0.107563 -0.646533 -1.163369
 -1.040326 -0.206833 -0.685518 0.907265
 0.198567 -0.221192 -0.227891 0.288289
 -0.475266 -0.155436 -0.792266 0.423807
 -1.009635 -1.041980 0.118002 -0.667024
 -1.034138 0.191424 -1.077389 1.892260
 0.090261 -0.667303 -0.006009 0.075673
 -0.934243 -0.102253 -0.950785 -0.207462
 -0.863117 -0.786794 -0.878573 0.517569
 -1.097912 -0.940202 -0.688615 -0.393932
 -0.158248 -0.108141 -0.875273 0.580818
 -0.081521 -0.017960 -0.514875 -1.078347
 -0.631104 -0.075853 -1.013194 0.299600
 -0.539329 -0.166452 -0.044417 0.819546
 -0.349101 -0.655400 -0.311880 0.936090
 -0.284720 -0.699316 -1.004241 0.060877
 -0.976087 -0.036065 -0.628092 1.602966
 -0.728910 0.037620 -0.599718 0.408266
 -0.872216 -0.121760 -0.856199 1.587024
 -0.263539 -0.106477 -0.936001 -0.238832
 0.138103 -0.144544 -0.396357 -0.292573
 -0.003386 -0.540705 -0.504770 -0.948316
 -0.198255 -0.953531 -0.770172 1.234954
 -0.913684 -0.914023 -0.155523 -0.198712
 0.076362 -0.993719 -0.937619 -0.250727
 -0.644243 -0.239556 -0.290918 -0.646322
 -0.832143 -0.294339 -0.672606 -0.070801
 -0.990798 -0.633903 -0.235890 -0.394009
 -0.417551 -0.905867 -0.116351 -1.205220
 -0.184850 -0.742880 -0.710693 1.560577
 -1.024549 -1.038854 0.163436 -0.425729
 0.090165 -0.361851 -0.941226 -1.092825
 -0.990834 0.054694 -0.614909 -1.619040
 -0.741740 -0.389397 0.066410 -2.501352
 0.052218 -0.649978 -0.415387 2.506892
 -0.249551 -0.154157 -0.455231 0.043080
 -0.610564 -0.418254 -0.955780 1.683288
 0.164548 -0.872565 -0.898380 0.269985
 -0.884042 0.047399 -1.045612 -0.133495
 -0.709286 -1.034767 -0.022846 0.705233
 -0.685181 -0.297646 0.181795 0.923065
 -0.728110 -0.985208 -0.839960 -0.088349
 -0.845468 -0.565857 -0.865606 -0.046949
 0.154235 -0.376133 0.050552 0.083984
 -0.702067 -0.814193 -0.964821 0.638146
 -0.053865 -0.508039 0.015502 1.899611
 -0.878326 -0.689229 0.126102 -0.151865
 -0.293822 0.059637 -0.879987 1.202618
 -0.432560 -0.008154 -0.513239 1.071056
 0.162995 -1.008383 0.141793 -1.542165
 -0.848322 -0.634920 -1.023602 0.381967
 -0.692065 -0.411024 -0.412473 -0.629307
 -0.345058 -0.194514 0.124833 1.509605
 -0.566304 -0.982857 -0.386519 -0.029219
 -0.757176 -0.233830 -0.709140 -1.665267
 0.073772 -0.304058 -0.498804 -1.164381
 -0.840378 -0.416545 -0.436165 -0.549894
 -1.037604 -0.121701 -0.404997 -0.168339
 -0.056902 0.049542 0.030933 0.618217
 -0.855252 -0.290290 0.050404 -1.524347
 -0.713791 -0.377663 -1.094828 -2.509189
 -0.488291 -0.204252 -0.593288 -0.564863
 -0.587819 -1.033304 -0.900498 0.209001
 -0.414695 -0.620736 -0.638077 1.521087
 -0.885253 -1.024916 -0.807397 -1.068189
 -0.300768 -0.185229 0.137341 -1.993086
 -0.561306 -0.762068 -0.365026 -0.115416
 0.142511 -0.493394 0.166687 2.015889
 -0.050003 -1.080251 -0.411928 -0.848036
 -0.297647 0.169444 -0.004612 -0.495338
 -0.437346 -0.887539 -0.053066 -1.828341
 -0.236174 -0.327815 0.137661 -0.193516
 -0.084725 -1.079690 -0.339475 -0.185157
 -0.484962 -0.255160 -0.874882 0.261310
 -0.778634 -0.999796 -0.759196 0.988216
 -0.811095 -0.400663 -1.023441 0.159036
 -0.341577 -0.132128 -1.050485 -1.137299
 -0.184869 -0.170509 -0.342004 -0.384802
 -0.155088 -0.732489 0.176393 -0.131153
 0.110117 -0.579535 -0.701796 -0.034020
 0.160138 0.172004 -0.277818 0.653484
 0.135392 -1.056269 -0.533311 -0.743680
 -0.846435 -1.038561 -0.873841 -0.182684
 -0.492627 -0.879460 -0.446756 -0.192749
 -0.196757 -1.082528 -0.807533 1.452647
 -0.263502 -0.154333 -0.985767 0.809284
 -0.996631 -1.029445 -0.619832 -0.415871
 -0.000635 -0.822246 -0.563296 -0.392668
 -0.888808 -0.523423 -0.554545 1.233997
 -0.903963 -0.977128 0.121704 0.881276
 -0.079132 -0.565716 -0.882520 -0.040467
 -0.383146 -0.332650 -0.695458 -0.297197
 -0.578428 0.088693 -0.495241 -1.744140
 0.098853 -1.023721 -0.754639 -0.968687
 -0.105661 -0.249950 -0.660044 0.894773
 0.038506 -0.227930 -0.420349 1.333291
 -1.012472 -0.803204 -0.806502 -0.661759
 -0.922871 -0.825658 -0.806696 0.593493
 -0.846134 -0.488617 -0.873237 0.404627
 -1.029640 -0.721800 -0.449402 -0.318698
 -0.059450 -0.636671 -1.002842 1.254648
 -0.283055 -0.420262 -0.634454 -0.695276
 -0.425988 -0.357588 -0.393032 0.335565
 -0.836215 -1.086733 -1.039741 1.835595
 -0.630541 -0.645298 -0.776613 -1.799318
 -0.633861 -0.271841 -0.828364 0.883247
 -0.609582 -0.884984 -1.009303 -0.167059
 -0.606245 -0.311957 -0.913028 0.187624
 -0.873391 -0.645273 -1.037209 0.686624
 0.057004 -0.099914 -0.760604 0.863815
 -0.128884 -0.456678 -0.194571 -1.009425
 -0.926629 -0.001455 -0.144124 -0.003243
 -0.244946 -0.779386 -0.618625 -0.648448
 0.153741 -0.590498 -0.970626 0.812978
 -0.557446 -0.312394 -1.086787 0.034698
 -0.158010 -0.821296 -0.338680 -1.483946
 -0.444021 -0.972612 -0.266403 -0.538043
 -0.601688 -0.120338 -0.902875 1.462703
 -0.589529 -0.038060 -0.589707 1.074304
 -0.770873 -0.469169 -1.077384 1.499672
 0.162697 -0.998856 -0.807172 -2.001548
 -0.480628 -0.092131 -0.578534 -0.592416
 -0.144821 0.184469 -1.074811 -0.253752
 0.152352 -0.584520 -1.033295 0.461799
 -0.836028 -0.316359 -0.522400 1.756564
 -0.674103 -0.977523 0.190186 0.936903
 -0.356737 0.148552 -0.020282 -0.530150
 -0.973680 -0.603294 -0.329806 0.326942
 -0.527943 -0.857302 -0.789065 0.124970
 -0.641848 -0.114273 -0.356040 0.752610
 -0.668258 -0.624214 -0.610589 1.259372
 -0.277753 -0.859212 -0.110534 0.186776
 -0.745400 0.084761 -0.672087 1.502730
 -0.224573 -0.403354 -0.738493 0.863263
 -1.058315 -1.034044 -0.685677 0.830853
 -0.204523 -0.398376 -0.131125 1.887320
 0.119093 -0.574897 -0.222811 0.891646
 0.027761 -0.739999 -0.433654 -0.022922
 -0.489210 -0.540608 -0.725210 0.018507
 -1.074005 0.061862 -0.162807 -2.011393
 0.008831 -0.686063 -0.341370 0.323819
 -0.715247 0.197456 -0.928382 -0.752070
 -0.387617 -0.438691 -0.996422 -0.281591
 -0.966371 -0.822016 -0.389517 -0.637058
 -0.562267 -0.097557 -0.576234 -0.407933
 -0.528596 -0.139069 -1.095889 -0.102142
 0.064254 -0.861166 -0.892673 2.135808
 -0.410663 -0.756927 -0.648949 0.377185
 -0.478401 -0.754925 -0.393771 1.919024
 -0.579925 -0.549929 -0.183173 0.866698
 -0.801004 -0.309013 -0.438120 -1.426253
 -0.446524 -0.780456 -1.008518 -0.015718
 -0.479732 -0.592607 -0.469424 0.591908
 -0.119603 -0.595897 -0.122381 -0.185084
 -0.858312 -0.361974 0.166440 0.457563
 -0.029969 -0.950371 -1.065373 0.004279
 -1.018835 -0.918258 0.027555 1.522989
 -0.200415 -1.017949 0.034974 -0.507743
 -0.616610 -0.024378 -0.254335 0.160787
 -0.420214 -0.327825 -0.353087 0.039165
 -0.778832 -0.965501 0.070951 0.057971
 -0.058782 -0.508219 -0.944105 -0.473085
 -0.017861 -0.171328 -0.786760 -0.808903
 -0.793837 -0.910298 0.058245 1.243845
 -0.167450 -0.006686 -0.008962 0.609856
 -0.815559 -0.733556 -0.911764 -1.311576
 -0.685443 -1.083531 -0.805337 -1.032231
 -0.747801 -0.038147 -0.924230 -0.556388
 0.194842 -0.662654 -0.070549 1.563270
 0.086123 -0.046525 -0.816153 1.734552
 -0.521939 -0.360738 -0.970745 -0.819561
 -0.391591 -0.431772 -0.993687 1.280116
 -0.368553 -0.569762 -1.012240 0.180598
 -0.782146 -0.353795 -0.444131 1.409653
 -0.116443 -0.287165 0.185140 0.103824
 0.182494 -0.326505 -0.293856 0.722876
 -0.964000 -0.750943 -0.607865 0.497332
 -0.553068 -0.658358 -0.778627 -0.799555
 -0.755938 -0.757333 0.019706 -0.830395
 -0.863354 -0.398421 0.083248 1.342425
 -0.199444 -0.063242 -0.422433 1.379999
 -0.061745 -1.077007 -1.044888 0.669328
 -0.324900 -0.761999 -0.270039 -0.526936
 -0.714031 -0.102525 -0.360369 -1.142641
 -0.001202 -0.571531 -0.788152 0.776896
 -0.317503 0.106719 -0.085978 0.373590
 -0.658187 0.005835 -0.799049 -0.112057
 -0.185688 0.097425 -0.801700 0.387806
 -0.544419 -0.648975 -0.460396 -0.934388
 -0.466015 -0.388385 0.078431 0.379566
 0.123290 -0.453384 -0.968064 1.079674
 0.124345 -0.415290 -0.155228 -0.418216
 -0.827413 -1.009926 -0.164809 0.614230
 0.073904 -0.303173 -0.864625 -0.528529
 -0.962017 -1.013146 -0.029135 -1.093133
 -0.780870 -0.745603 0.152497 0.324483
 -0.240812 -0.078380 -0.360481 -1.582175
 -1.054166 0.104870 -0.089467 0.052461
 -0.050255 -0.759765 -0.554572 -2.522742
 -0.577121 -0.853938 -1.058699 -1.201717
 0.040754 -0.937378 0.116556 0.354468
 -1.037880 0.084080 -0.499040 0.768268
 -0.601167 -0.648298 -0.988345 1.457344
 -0.546152 -1.024293 0.029064 0.452282
 -0.183527 0.095182 -0.416525 -0.309504
 -0.484209 -0.054466 -0.554254 2.136632
 0.009007 -0.179140 -0.439019 -1.292201
 -0.090497 0.003112 -0.834907 -0.609760
 0.074511 0.111188 -0.506489 0.694073
 -0.215944 -0.581400 -0.874506 -0.222607
 -1.040827 -0.853534 -0.956505 1.067939
 -0.506627 -0.293784 -0.987753 -1.995034
 -0.245218 -0.238255 -0.492598 0.696765
 -0.574368 -0.111150 -0.741291 0.721676
 -0.328381 -0.293264 -0.065890 0.751994
 -1.009731 -0.582170 -1.006635 1.432227
 -0.576879 -0.965201 -0.316796 0.305979
 -0.169838 -0.665930 0.121818 -0.211730
 -0.705123 -0.644836 -0.087537 -0.057962
 -1.077531 -0.173538 -0.357866 -0.128799
 -0.949669 -0.200895 -0.613080 0.354187
 0.157069 -0.784122 -0.651007 1.176436
 -0.846005 -0.328521 -0.280550 -0.475503
 -0.980591 -0.503010 0.084838 -0.315867
 -0.787865 -0.128360 -0.819265 0.756007
 -0.566565 -0.406173 -1.087413 -0.188931
 -0.342969 0.118412 -0.584133 -1.674973
 0.107527 -0.870472 -0.059774 0.871855
 0.071138 -0.998334 -0.162250 0.057850
 -0.824625 -0.631113 -0.334390 -0.808314
 0.048962 -0.669919 -0.625378 -0.951705
 0.108713 -0.561896 -0.265943 1.418911
 -0.261326 -0.564472 -0.408435 -1.132304
 0.058820 -0.674764 0.067491 -0.435387
 -0.064666 -0.991898 -0.782587 2.389889
 -0.498574 0.181769 -0.142628 0.727712
 0.020607 -0.963734 -0.884642 -0.103772
 -0.086845 -0.555884 -1.005308 -0.674227
 -0.488954 -0.245556 -0.966796 0.383213
 -0.323955 -0.975624 -1.050351 -0.147173
 -0.207151 0.012602 0.072481 0.276255
 -0.570470 0.155729 -0.104065 -0.948330
 -0.719573 0.089244 -0.522399 -0.214054
 -0.834419 -0.274978 -0.793102 0.068472
 -0.812847 -0.418537 -0.765718 0.080678
 -0.119718 -0.895165 -0.630230 -1.023000
 -0.232321 -0.372440 -1.064834 0.076134
 -0.565014 -0.468135 -0.343626 0.077209
 -0.421166 -0.933885 0.169970 -0.326721
 -0.024925 -0.163132 -0.183587 -1.130743
 -0.169551 -0.346896 -0.633190 1.518869
 -0.638580 -0.333896 -0.936684 -1.076320
 -0.570896 -1.043093 -0.267396 -0.215286
 -0.918977 0.169959 -0.777948 0.249631
 -0.504465 0.150147 -0.279878 1.277945
 -0.825330 -0.076714 -0.684189 -0.514101
 -0.096070 -0.318535 -0.961327 -0.526349
 0.131865 -0.673796 -0.709941 -0.457236
 -0.681022 -0.665299 -0.709348 -0.511624
 -0.928615 -0.720886 -0.361836 0.094647
 -0.625200 -0.612888 -0.854750 -0.629129
 -0.047348 0.139968 -0.431571 -0.052811
 0.023947 -0.982096 -0.911448 -0.566704
 -0.327266 -0.435514 -0.519121 -0.881671
 -0.974136 -0.127474 -0.950961 0.283799
 -0.702778 -0.063517 -0.191725 1.193225
 -0.535614 0.019834 -0.926497 1.601482
 -0.224241 -0.562234 0.094344 1.495440
 -0.415645 -0.462280 -0.407326 0.759749
 -0.311078 -0.349560 -1.063608 -0.313248
 -0.427168 0.047138 -0.934136 -0.015430
 -0.099649 0.100205 0.097859 -1.948428
 -0.992937 -1.077200 -0.427421 -0.322869
 -0.158738 -0.347405 -0.769707 -1.184257
 -0.986371 -0.548665 0.063785 -0.419824
 -0.835383 -0.045667 -0.283664 0.643376
 -0.096141 -0.960023 -1.074159 -1.133932
 0.058623 0.166122 -0.895750 -0.077665
 -0.644926 -0.514907 -0.466648 0.580204
 -0.550381 -0.620033 -0.770179 0.162457
 0.103935 -0.929298 -0.435156 -0.628318
 -0.124456 -0.306770 -0.160849 -0.065141
 -0.470338 -1.016258 -0.424952 -1.495017
 -0.952827 -0.094847 -0.701027 1.097918
 -0.112043 -0.069125 -0.133003 0.479607
 -0.341496 -0.763033 -0.198273 -0.497481
 -0.533624 -0.424850 -0.651732 -0.186987
 -0.464965 -0.769185 -1.084679 2.026549
 -0.854557 -0.270703 0.117440 0.806336
 -0.253942 -0.280280 -0.256416 -1.388437
 -0.860701 0.054536 -1.037557 2.464984
 -0.609755 -0.214852 -0.878916 0.249760
 -0.710843 -0.612083 -0.388495 2.416863
 -0.642196 -0.928627 -0.180303 0.029450
 -1.090459 -1.058094 -0.671285 1.527156
 -0.091434 0.019476 0.089247 0.919706
 -0.999770 -1.001029 -0.038881 1.064566
 -0.339558 -0.573345 -0.071956 0.293530
 -0.065400 -0.361432 -0.045560 -0.928333
 -0.854766 -0.502129 -0.453618 -0.965516
 -0.661774 -0.066311 -0.942661 1.268457
 -0.338889 -0.863653 -0.908786 -0.127992
 -0.294817 0.131289 0.010457 0.344634
 -0.847727 0.119458 -0.586471 -0.617742
 -0.311200 -0.123246 -0.864212 -1.433610
 -0.979603 0.013343 -0.254460 0.491468
 -0.284629 -0.825264 -0.232178 -0.025539
 -0.062041 -0.005980 -0.271830 -0.885586
 0.190389 -1.037897 -0.093022 0.225646
 -0.390738 0.026162 -0.286322 -0.616469
 -0.964095 -1.075663 0.016483 0.303947
 0.181915 -1.023378 -0.711275 -1.993631
 -0.454890 -0.812260 -1.027784 -0.003396
 0.111691 -0.911556 -0.242567 -0.875185
 -0.478226 -0.109851 -0.921982 0.321474
 0.030465 -1.066822 0.149950 2.113627
 -0.588099 -0.290828 -0.157822 -1.657479
 -0.196271 -0.679599 -0.641776 0.251229
 -0.663525 -0.332259 -0.413336 -0.798642
 0.075809 -0.811404 -0.797416 -1.498447
 -0.902466 0.085698 -0.498191 1.884813
 -0.498388 -0.308485 -0.702981 1.594698
 -1.030159 -0.318783 -0.816831 -0.993489
 -0.110079 0.140675 0.036571 0.588719
 -1.070584 -0.926014 0.039070 0.383119
 -0.918664 -1.064227 -0.686108 1.552951
 -0.680468 -0.142157 -0.221082 -0.192143
 0.191406 -0.682588 -1.050747 0.559544
 -0.210085 0.008327 0.130830 0.230258
 -0.983103 -0.838583 -0.356963 -1.004561
 -0.426519 -0.241215 -0.979842 0.532080
 -0.295263 -0.651569 -0.197203 -1.418250
 0.101760 -0.091258 -0.849195 -0.272013
 -0.266943 0.123963 -0.720156 2.085176
 0.119904 -0.767075 0.073287 -0.538159
 -0.939206 -0.592725 -0.949274 0.569365
 -0.683849 -0.686193 0.110517 0.700290
 -0.247510 0.061190 -0.053753 -0.584977
 -0.790278 -0.167097 0.177010 0.087562
 -0.154285 -0.626077 -0.114611 1.164275
 0.082023 -0.660336 -0.048468 -0.130709
 0.184837 -0.847297 -0.819268 -3.226267
 -0.163131 -0.363245 -0.700508 -2.218511
 -1.004915 -0.425162 -0.148894 0.884712
 -1.032257 -0.665939 0.019219 1.260409
 -0.201535 -0.635024 -0.007932 -0.131545
 -0.705625 -0.361138 0.056953 -0.890670
 -0.979700 -0.938273 -0.798840 0.990308
 -0.472909 0.090067 -0.207211 -0.694418
 -0.762828 -0.198800 0.197151 -0.424014
 -1.077005 -0.230362 -0.765053 0.414369
 -0.808074 -0.538788 -0.566671 0.792532
 -1.069181 -0.397092 -0.469686 -0.548261
 -0.521583 -1.004528 0.128435 -2.020627
 -0.971656 -0.401781 -0.024706 -0.247928
 -0.965146 -1.086792 -0.282179 -0.104178
 -0.690843 -0.149472 -0.695089 -0.295355
 -0.446089 -1.018415 -0.401823 0.422894
 -0.677908 -0.500348 -1.037440 1.867045
 -0.377872 0.010466 -0.242124 1.415262
 0.044202 0.195306 -0.379304 -0.719862
 -0.636744 -1.057515 0.151270 0.362313
 -0.494088 -0.493912 -0.417366 -1.214225
 -0.011093 -0.142786 -1.049114 0.875995
 -0.119741 -0.148549 -0.251949 0.521016
 -0.290553 -0.943996 -0.509813 -1.678666
 -0.941559 -0.646965 -0.696817 0.553269
 -0.993221 -0.918052 -0.778089 -1.085803
 -0.308767 -0.148748 -0.248927 -0.841965
 -0.027036 -1.045844 -0.745086 0.279002
 -0.225589 0.031166 -0.511800 0.445069
 -0.494528 -0.412321 -0.079275 -0.376145
 -0.752367 -0.926900 -0.805128 -0.724124
 -0.391610 -0.293522 -0.293695 1.158650
 -0.428094 -0.106245 -0.322993 -0.554954
 -0.623362 -0.461486 -0.154912 1.220386
 -0.273752 -0.378960 0.015025 0.612293
 -0.997972 0.041833 -0.378441 1.735377
 -0.398153 0.110305 -0.680078 -0.450751
 -0.324800 -0.143971 -0.289655 0.562112
 -0.451557 0.073931 -0.899037 -0.572722
 0.081305 -0.537747 -0.674618 -0.209891
 -1.048464 -0.408673 -0.099310 0.528239
 -0.331883 -0.654584 -0.242062 0.111912
 -0.794347 -0.947145 -0.708542 -0.780767
 0.147100 -0.239885 -0.549469 -0.348176
 -0.095066 0.039459 0.130737 -1.501208
 -1.079333 -0.468205 -0.283937 -1.069291
 0.153671 -0.669003 -0.722024 -0.524488
 -0.481299 -0.412981 -0.636788 0.115752
 -0.118161 -0.376885 -0.806710 -0.604899
 -0.513986 -1.067379 -1.064357 0.500008
 -0.933698 -0.748813 -0.880772 -1.615090
 -0.643143 -0.065703 -0.134712 -0.501511
 -0.112271 -0.331515 0.102685 -0.431903
 -0.782228 -0.070228 -0.730662 0.846472
 -0.028966 -0.675034 -0.007524 -0.967320
 -0.369281 0.192745 -0.097051 0.345569
 -0.319302 -0.152564 -0.839656 1.506869
 0.141149 -0.443857 -0.200971 0.841691
 -1.095894 0.039431 0.042517 -0.200377
 -1.022441 -0.784198 0.105616 -0.175844
 -0.594019 -1.046031 -0.100223 0.649424
 -0.814188 -0.554524 -0.230542 0.475294
 -0.994705 -0.657800 -0.973599 -0.574102
 -0.078694 -0.960758 -1.034542 0.479093
 -0.398934 -0.580164 -0.828014 1.654515
 -0.213804 0.160679 -1.044965 1.160543
 -0.238827 -0.543909 0.152122 -1.046520
 -0.919284 -0.254825 -0.088953 -0.421317
 -0.876667 -0.826731 -0.659664 0.704206
 -0.998042 -0.461496 -0.783333 -0.693088
 -0.395369 -1.024005 -0.808898 -0.123347
 -1.019502 -0.034787 -0.612488 0.098284
 -1.043175 -0.134736 -0.262820 -1.326534
 -0.832967 -0.310067 -0.800486 -0.743354
 -1.095746 -0.594481 0.181280 -1.324578
 -0.011977 -0.951956 -0.734728 0.188983
 0.003640 0.076878 -0.414695 -0.702292
 -1.026255 -0.260581 -0.389630 -0.679656
 -0.520634 -0.437259 -0.590129 -1.217928
 -1.025569 -0.715143 -1.096560 1.261621
 -0.201474 -0.557856 0.137555 1.369794
 0.086999 -0.266391 0.191030 0.673110
 -0.892169 -0.995960 -0.552549 2.071986
 -0.499145 -0.899322 -0.916129 0.424348
 -0.279783 -0.746361 -1.011503 -1.167789
 -0.480291 -0.254126 -0.825057 -0.367477
 0.180154 -0.471984 -0.469143 0.546103
 -0.441997 -0.883214 -0.284680 0.784360
 -0.347835 -0.436125 -0.954051 -1.890097
 -0.712836 -0.520577 0.169290 -0.587380
 -0.918179 -1.017506 -1.047574 -0.780209
 -0.641316 0.002650 -0.174030 0.587786
 -0.459989 -0.111979 0.106417 -0.267080
 -0.035115 -0.812974 -0.184760 -0.033414
 -0.177629 -0.353124 -0.185286 0.340401
 -0.516998 0.087104 -0.758813 0.819635
 -0.512608 -0.523728 -0.365702 -0.205525
 -0.196583 -1.089524 -0.411626 -1.483984
 -0.674144 -0.639930 0.139842 -0.164948
 -0.472231 -0.467801 -0.787027 0.098617
 -1.012869 0.007147 -0.838548 0.181441
 -0.074090 0.175284 -0.114912 0.568149
 -0.257713 -0.046151 0.013847 0.540467
 -1.026456 0.144297 -1.037295 -0.897672
 -0.994631 -0.403323 -0.162066 0.059571
 -0.634964 -0.829757 -0.759857 1.227451
 0.035067 -0.132057 -0.915281 2.929545
 -0.826555 -0.889988 0.112769 0.679172
 -0.317128 0.010613 -0.599480 -0.820212
 -0.359154 -0.882476 0.019097 -1.032490
 -0.543381 -0.236761 -0.019070 -0.161273
 -0.723659 -1.076430 -0.481919 -0.036467
 -0.627208 -0.320845 -0.675638 -0.639455
 -0.421241 -0.278050 -0.739427 -0.165893
 -0.766438 -0.134645 -0.216087 0.444779
 -0.933781 -0.140376 -0.483062 1.103935
 0.185136 0.151289 -0.203371 -0.259228
 -0.775589 -0.417270 -0.478852 1.995426
 -0.310232 -0.604538 -1.073109 -0.387908
 -1.041616 0.194772 -0.688852 0.489299
 -0.229886 -0.254121 -0.853238 -0.414226
 0.081951 -0.160358 -0.954974 -1.615598
 -0.471481 -0.695036 -0.893531 -0.191026
 -0.780367 -1.085814 -0.194576 1.038122
 -0.001470 0.149409 -0.052661 -0.519082
 -0.467496 -0.734635 -0.979951 -0.229347
 -0.764936 -0.746795 -1.035283 -0.525963
 -0.944312 -0.122661 -0.582092 1.766152
