8192 3
0.536369 1.786968 -0.163626
0.130632 1.265874 0.052664
-0.361155 0.430539 0.365263
0.389057 1.637413 0.439888
0.263110 0.454074 0.716856
0.370746 1.971687 0.683148
1.149156 1.177248 0.480710
0.223595 0.821212 -0.186220
0.517368 0.591959 0.618877
0.383770 0.503155 -0.176071
0.801489 1.549648 0.320641
-0.109879 0.402011 1.120293
-0.352293 0.485336 0.208942
0.560904 1.287742 0.896045
0.929098 1.877899 1.075060
0.549175 0.547547 0.684307
-0.258319 1.634599 0.516363
0.931909 1.899090 0.089949
0.217598 1.591662 1.291583
0.412025 1.906313 0.652409
0.728521 1.248448 -0.096239
-0.043482 0.551613 0.844711
1.131486 0.654184 0.392353
0.911936 1.402602 -0.056593
0.527732 1.522915 0.969465
0.475173 0.590968 1.164096
0.147629 1.238437 1.173589
0.470737 1.743773 0.013435
0.083335 0.612923 1.131531
0.477854 0.669675 0.265396
0.483330 1.060843 1.299027
0.293769 0.448721 0.538159
0.982761 1.856108 0.480590
0.443204 0.848038 0.005178
0.400614 0.843417 0.975697
0.338485 1.710746 0.975322
0.637996 1.126051 0.989214
0.658095 2.015979 -0.164193
-0.232242 0.920074 1.212586
0.369752 1.041117 -0.063903
-0.169975 1.861955 -0.197053
-0.064244 1.121647 0.829594
0.350228 1.371586 0.360616
0.518161 1.369022 -0.143384
0.770382 1.881216 -0.095697
0.138129 0.622971 1.091633
0.957243 1.716698 0.065808
0.814183 1.519829 0.711584
0.452245 1.850077 -0.283394
1.078986 1.269954 1.165905
-0.261958 1.880726 0.410589
-0.135887 0.932474 0.092876
0.123317 0.533500 0.404526
0.872932 0.779531 0.916831
0.018211 0.932618 1.005751
-0.029399 1.103365 0.586572
0.640670 1.431929 0.685550
-0.055028 2.046927 0.962436
-0.006689 0.460977 0.066916
0.916366 1.514978 0.667125
-0.135411 1.627310 -0.239945
0.064206 1.691010 -0.199736
0.648740 0.622908 1.094853
-0.135505 0.891068 0.391438
-0.179214 0.730470 0.775322
0.943289 1.998240 0.725798
0.630606 0.611375 -0.197921
0.064412 1.024025 0.609896
-0.025256 0.555483 0.232332
0.332263 1.462633 0.200189
1.102680 1.670684 0.467831
0.436463 0.483363 -0.193385
0.246398 2.046164 1.380707
0.277181 1.467171 0.246633
-0.309436 0.690340 0.144171
0.347765 0.559435 1.120364
-0.147532 0.617071 0.756384
-0.137176 0.906099 1.291534
0.222842 0.759270 -0.286054
1.101342 1.369853 0.291983
-0.080231 1.304306 0.883213
0.525418 1.596246 0.145871
-0.171968 1.220992 0.775378
1.127545 0.638600 0.791083
0.424592 0.585500 0.574821
1.149083 1.573354 -0.138317
0.481560 1.910624 0.164494
0.046558 0.655710 0.611269
-0.107112 1.331180 0.499599
0.970665 0.562582 0.255917
-0.201866 0.483190 0.999019
-0.016101 0.779433 1.142103
1.033928 1.909618 1.143821
-0.422984 1.546708 0.830511
0.840345 1.171405 1.205293
-0.316548 1.551874 0.764141
-0.407700 1.378373 0.402568
0.860633 0.482622 0.482102
-0.271074 1.058894 0.876701
-0.189872 1.290615 1.249047
1.066952 0.673400 1.370540
-0.353059 1.035989 1.069334
0.337355 1.631483 -0.158777
-0.441166 1.385218 -0.037834
0.179848 1.450622 0.935754
0.162974 0.649629 1.069978
-0.233461 1.053803 0.832861
0.012816 0.944978 1.250165
-0.171815 0.981573 0.380690
-0.183030 1.807502 0.311403
0.228126 0.670787 1.254211
0.812135 1.507769 -0.245060
-0.482982 0.706354 1.268199
0.505470 1.645390 0.129043
-0.041392 1.105842 1.354983
0.111612 1.114634 0.883710
0.847780 1.334754 0.356931
0.921991 1.458077 0.403113
1.094299 1.198438 0.687036
-0.290555 2.050103 0.845303
-0.372579 1.066327 0.421389
-0.217984 0.951871 0.524181
1.060927 1.523735 -0.099270
-0.497160 0.930832 0.432319
0.255100 1.739825 1.399242
-0.387130 0.595594 0.574262
-0.261265 1.438869 0.926549
-0.446663 1.194311 -0.056187
0.560095 0.579201 0.770362
0.074913 1.100667 -0.236691
1.132330 0.527341 1.279286
0.719266 0.828545 0.723516
0.094796 1.604960 0.079062
-0.420183 1.296686 -0.216452
-0.460949 0.617839 0.308812
-0.460221 0.684925 0.327449
0.019822 1.390949 0.985973
0.341640 1.630106 -0.249459
0.679691 1.440091 0.627120
0.689581 0.518018 0.048363
-0.291952 1.063740 0.845846
1.124460 0.922495 0.045390
0.476193 1.492822 0.146998
0.680510 1.137291 1.344601
0.188903 0.669351 0.431465
0.470817 1.986058 0.443819
0.238354 1.316809 0.937693
0.783489 0.949557 0.712343
0.815436 1.361864 0.085428
0.199542 0.915506 1.059774
0.097725 1.272506 0.738507
0.455754 1.539009 0.587314
1.100831 1.535900 0.643134
0.325494 1.402771 1.128702
-0.210539 0.428227 1.183099
0.731335 1.322201 1.070170
0.952572 0.602283 0.351695
-0.450119 1.449085 0.518377
0.639338 1.966398 -0.169926
-0.496093 1.461129 1.015949
0.564194 0.684397 -0.018745
-0.323481 1.374957 0.798175
1.173761 1.215653 0.780609
1.072754 1.830191 -0.242757
0.175217 1.851380 0.951136
0.949242 2.055893 -0.165627
-0.384590 2.098305 1.056901
0.818114 1.603845 -0.186321
0.186653 1.951315 1.209654
1.166174 0.444476 1.222005
0.407388 0.855343 0.942254
1.118006 1.759122 0.798548
-0.209715 0.642623 -0.098591
-0.036336 1.875030 0.490089
-0.210756 1.058168 0.586429
0.311616 1.424799 0.765466
0.592587 1.670753 1.096086
0.669685 1.070134 0.868241
-0.056447 1.150416 0.225965
-0.056019 1.324712 -0.010064
0.103800 2.055331 0.889941
0.657470 1.933122 0.851428
1.194803 0.840726 -0.166361
0.343957 0.515892 0.601349
0.905956 1.252573 0.483037
0.739238 1.999913 0.657989
0.655851 1.650819 1.150212
0.141744 1.263900 0.852157
-0.403651 1.982514 0.355112
0.403321 1.330063 -0.213854
0.470255 1.963985 0.351848
0.234925 0.454926 0.205798
0.039155 0.888787 1.052393
0.533904 0.551310 0.068383
0.048961 1.636456 0.445391
0.950403 0.978618 0.851639
-0.457653 1.717236 0.581044
-0.464015 2.090311 1.241581
-0.045857 1.353275 0.490178
-0.328336 1.778993 1.096612
-0.310006 1.597677 0.879714
1.055966 1.739872 0.707510
0.509998 0.860882 0.159322
0.170638 1.030479 1.053721
0.248850 1.613962 1.284080
0.250990 1.387579 1.160667
0.895575 0.755977 0.412412
-0.174001 1.460962 0.570722
-0.452924 0.791470 1.213066
-0.181425 0.662962 0.061390
0.013409 0.955515 1.147445
-0.226770 1.607716 0.894296
0.204465 0.596786 1.375449
0.574492 1.222937 1.064744
0.128723 0.906938 0.419379
-0.243968 1.430857 0.535177
0.979668 1.981384 0.018006
0.818332 2.074980 1.123856
0.901878 0.673239 -0.238008
0.100840 1.992961 0.435481
0.254349 2.081965 -0.184880
0.333235 1.593606 -0.282792
0.358496 1.414024 -0.260054
-0.357659 1.630282 0.084955
-0.139221 0.648829 1.018732
0.173888 0.504691 0.535962
0.500543 2.029624 1.058940
0.280786 2.011874 0.112778
0.382165 1.460206 0.889303
0.484624 1.608194 1.184242
-0.087005 1.578971 0.319687
0.445135 1.564016 1.087933
0.921684 0.695152 0.102726
0.794567 2.093249 0.924062
0.716439 0.404047 0.826702
0.313230 1.283523 1.174025
1.194772 1.984930 0.544417
0.075864 0.802313 -0.097180
0.001335 0.835916 0.793259
0.314141 1.208717 0.188485
0.708376 1.761352 1.231626
-0.297742 1.330495 0.984646
-0.401757 1.165409 -0.283180
0.946580 1.886754 1.129673
0.019298 1.599342 1.070417
0.150469 1.917574 0.193062
0.819880 1.375426 -0.272503
0.569712 1.323743 0.644236
-0.093576 1.351790 0.705970
-0.173602 1.897943 0.210743
0.088463 1.226691 0.154595
1.084308 0.824586 0.409697
-0.017096 0.612108 0.717334
1.060054 1.213085 -0.124379
-0.149152 1.209518 -0.278303
0.674342 0.949906 0.241283
-0.301440 1.035254 0.173733
0.714476 0.469421 0.046583
1.173646 0.889414 0.376895
1.185210 1.670786 0.015846
-0.201718 1.619559 0.780799
0.241804 2.088125 1.132499
1.079694 1.519968 1.343700
-0.284648 1.080099 0.257708
0.229212 0.960226 0.214529
0.549734 2.060970 0.806759
0.576733 1.158348 0.396948
1.151097 2.033190 0.355299
1.126254 1.787115 0.391965
0.468147 1.719203 0.488009
0.256367 1.671242 0.993567
0.407845 0.695917 0.196770
1.128608 1.199076 0.078664
0.734692 1.535229 0.821993
1.137751 1.423843 0.804124
-0.219359 0.665061 -0.036044
-0.352159 1.730382 1.373952
0.686394 1.485939 0.241657
0.281969 1.488795 0.590503
1.050038 0.805287 1.177630
0.702496 1.384736 -0.261380
0.072859 0.500830 0.344609
0.098771 1.980613 0.778813
1.168560 1.853455 0.335039
0.437215 0.950541 1.301257
0.482318 0.473156 0.094853
-0.313360 1.156902 0.123629
1.150493 0.699493 0.876768
0.713164 1.292157 0.955836
-0.469627 1.462820 0.852397
0.228740 1.357793 1.028605
0.373093 1.291904 0.217503
0.230281 0.415914 0.925790
-0.378913 1.159701 0.984464
0.748983 0.778675 0.534642
0.496038 0.602916 1.147558
0.283819 0.767855 0.409061
0.106995 1.851808 0.397985
0.661861 1.192570 0.641622
0.403746 1.086456 0.611819
0.360489 1.681365 1.252911
0.826341 0.861342 1.242071
0.273256 1.363008 0.969906
-0.291807 1.910036 1.303648
0.174488 1.986421 1.323774
-0.254661 2.003673 -0.005477
1.040317 1.674293 0.968987
-0.432718 1.390281 0.242575
0.617444 0.951535 0.657431
0.933443 1.658798 0.637784
0.383158 1.552185 1.218665
0.483223 0.572464 1.339732
-0.233638 1.541468 1.024360
-0.376539 1.408173 1.106418
-0.172612 0.800624 1.191367
0.446539 1.685537 1.133598
-0.343106 0.708428 -0.040981
-0.101445 0.855326 1.031701
0.876126 0.634364 0.230289
0.612294 1.166509 1.358941
-0.272221 1.439687 0.079225
-0.375389 1.561982 -0.192071
1.160876 1.276157 0.467898
-0.202031 0.919671 0.750385
-0.135770 1.998596 0.899040
0.859297 0.950870 0.455092
-0.407186 1.976330 1.094437
-0.334734 1.866572 0.052827
0.997555 1.419058 -0.178610
0.443094 1.739891 0.086704
-0.427786 0.476514 0.824442
0.237874 1.898492 0.341194
0.185356 1.810610 0.236846
-0.217496 1.064862 1.061222
0.581817 1.994427 0.560593
0.597007 1.248911 0.158836
0.397314 1.049930 -0.025133
-0.439940 0.897729 0.133752
1.079759 1.418966 0.781451
0.051783 1.740779 1.280338
1.196784 1.039566 0.551075
-0.042664 1.487331 0.603718
-0.255273 1.609296 1.152213
0.819850 1.182081 -0.171925
0.672283 1.328632 0.433443
-0.164806 0.883823 1.213113
-0.171496 1.819229 0.185239
-0.002842 0.429742 0.457207
0.009973 2.042095 -0.263858
0.620967 1.667892 -0.095186
0.034495 1.711609 1.228926
0.360765 0.895993 0.788578
-0.107750 1.805039 -0.081971
1.056187 0.673904 0.281966
0.859688 1.194754 0.060171
-0.410978 0.858849 1.349696
1.137553 1.530277 -0.277280
0.809122 0.748501 0.005260
0.137441 1.815500 0.121861
-0.441424 0.940388 0.589938
-0.398974 1.576042 0.059990
-0.325614 1.845150 0.434880
-0.456993 0.406143 0.485031
1.170914 1.175217 0.519691
0.244283 2.035456 1.176356
-0.244098 1.169150 1.296192
1.187571 1.486151 0.833573
-0.473929 1.402399 1.185091
0.493912 0.811695 0.307872
-0.157129 1.369484 -0.203359
-0.232126 1.008542 1.136734
1.157131 1.521833 0.579757
1.031423 0.425879 0.014310
0.390735 1.480097 0.676490
0.479487 0.997543 -0.048610
0.825822 0.903954 0.445312
0.124202 1.736626 0.070776
0.395007 1.601097 -0.231992
0.151302 1.153828 0.863786
0.915611 1.119414 0.406319
-0.239078 0.784451 -0.265184
-0.462295 1.951172 0.539892
0.005157 1.160182 1.078055
0.127040 1.700186 0.176053
0.381923 1.344428 0.420123
-0.310194 0.970944 1.011128
0.510446 1.270888 1.116271
-0.036248 1.815495 0.497408
0.537096 1.381646 0.169099
-0.273952 0.672518 -0.148997
0.984593 1.684083 0.309312
-0.223077 1.862327 1.080382
0.279747 1.974600 0.828213
1.003728 1.842986 0.204569
-0.099067 1.751754 -0.197409
1.161112 1.827592 -0.123636
0.549483 1.934397 0.131466
1.001189 2.004824 0.677176
-0.323443 1.942774 0.528622
0.738985 0.624606 0.594835
0.554887 1.266556 0.115753
0.930441 0.911296 0.989410
-0.313613 1.455978 0.740028
0.638242 0.400146 0.967270
-0.203926 1.324038 1.103134
-0.031973 1.122407 -0.015754
1.147368 2.036926 0.272755
0.316649 2.092461 0.434197
-0.098729 0.422403 1.186228
0.141969 2.051607 0.367559
0.013897 1.556251 0.650669
0.674162 0.612768 1.241124
0.432320 0.616766 -0.023298
0.912336 1.206429 0.486967
0.002878 0.978114 -0.029054
1.096240 0.573346 1.157966
1.098655 1.635483 1.134932
0.331267 0.550683 0.634946
-0.191813 1.748052 -0.218589
-0.428919 0.719818 0.241613
-0.310341 1.277479 0.049543
1.185131 1.114271 0.409253
-0.477839 1.718427 1.279774
0.040321 0.516451 0.390487
-0.330921 0.557673 0.056333
0.864056 1.957886 1.156152
1.132321 2.072776 0.762691
0.021117 1.069195 0.773754
-0.445656 0.956779 -0.227729
0.434621 1.548060 0.001953
0.448888 1.442564 1.018903
0.219963 0.566237 0.141983
1.167601 0.890658 -0.033740
1.199982 0.779760 0.611899
0.047362 0.685649 1.087420
-0.212994 2.001856 0.279160
0.471012 1.113037 -0.225190
-0.091627 1.063052 0.429805
0.804891 0.888829 -0.141550
-0.003446 0.818680 0.147684
-0.169659 1.147250 0.355916
0.878508 0.538328 1.040214
-0.203702 1.766257 0.623104
-0.177317 1.672621 0.958647
-0.082922 0.583568 0.738394
0.259184 1.691540 0.521234
-0.343713 1.236383 -0.082552
0.314224 1.633202 0.905161
1.169594 1.401632 0.321047
1.198050 1.202006 -0.113583
0.927479 1.759709 -0.093672
-0.046041 1.559609 1.268260
0.792778 1.804932 1.343391
0.964844 1.803460 0.683850
0.151716 0.952026 0.019380
-0.030457 0.470917 1.348648
0.224320 0.868559 0.842420
0.698807 0.951448 -0.179999
0.153085 1.878987 1.117001
0.214126 0.829658 1.242607
0.070029 1.452032 0.130908
0.817175 1.722770 -0.273723
1.186955 0.875160 1.390803
0.486088 0.908333 0.265850
0.769024 0.453134 -0.136914
0.511025 1.815045 1.196561
-0.054274 1.905014 1.023699
-0.120311 1.924950 0.332703
1.143692 1.441571 0.776325
0.091591 0.769720 0.106591
0.610370 1.379955 1.286832
0.293641 0.583676 0.138626
-0.084046 1.427803 -0.276679
-0.193408 0.565666 0.323041
0.040915 0.816664 0.562696
0.459069 1.597992 0.307983
0.402554 1.723139 1.040415
1.128470 1.678714 -0.088184
0.086539 1.454703 0.374825
0.234593 0.598614 0.670457
-0.457823 0.579805 1.308286
0.486111 0.546616 -0.208721
0.038237 1.973453 0.467061
0.732707 2.098809 1.273213
0.993558 1.956076 1.146132
0.869706 1.785333 0.509953
-0.221862 1.525536 0.033509
1.073647 1.461881 1.014135
-0.214496 0.553372 1.139706
0.132906 1.077248 1.004806
-0.202763 0.564399 1.047250
0.751021 2.057331 1.388473
0.738890 0.959676 0.325599
-0.210784 1.317332 0.024683
1.179742 1.065512 0.185940
0.705859 2.095224 0.663649
-0.211852 1.703651 0.847507
0.957189 1.404469 1.379845
-0.342480 0.496402 0.024902
1.044128 1.500689 0.819864
-0.481932 2.032423 -0.082882
-0.001634 1.383958 1.302923
-0.168132 0.486524 0.114049
-0.117436 0.994434 0.887391
0.024505 0.980270 0.631309
0.265682 0.935994 0.914324
-0.249512 1.063162 1.181810
-0.070973 2.053848 0.304765
0.466300 0.951807 1.257428
-0.045124 1.018456 0.246811
0.697394 1.073099 1.194361
0.284383 0.474634 0.079840
0.008339 1.549360 -0.228468
0.686780 0.571264 0.325714
-0.497369 1.982152 -0.048561
0.634456 1.256252 0.841714
1.058188 0.755364 -0.107557
0.050340 1.706131 0.017072
1.003174 1.455658 1.346953
1.151993 1.846837 0.223757
0.285762 0.641106 0.412488
-0.084454 1.222200 0.214140
0.110977 0.511040 0.888340
-0.451477 1.224074 0.404232
-0.278438 1.549732 0.074257
-0.073460 1.361492 1.302627
0.557393 1.132141 0.690551
0.181771 0.848025 0.127849
1.052080 2.005959 0.962296
1.039300 0.913389 0.160250
1.153711 1.771088 0.230068
0.980295 1.589808 0.724111
-0.073544 0.677958 0.767716
-0.487513 1.941292 1.044446
-0.387922 1.431805 0.726171
0.092906 0.520390 0.123142
1.123395 0.921591 -0.099624
-0.223928 1.718832 0.363098
0.746613 0.832222 1.177253
-0.146124 1.239880 0.875300
-0.301118 0.608533 0.032970
-0.187291 1.409940 1.042024
0.692906 0.854625 0.221902
1.161309 0.895368 0.088204
-0.340097 1.622645 -0.155529
0.165263 1.517028 0.710465
0.865514 1.059098 1.399624
0.358611 0.454816 1.332143
0.820342 0.805409 0.630236
0.954752 0.779416 0.570423
-0.121692 1.480516 0.337019
1.072210 1.646661 1.332032
0.933474 1.431043 0.458783
0.886532 0.694712 0.201440
1.180200 1.730146 1.229227
1.177381 2.063058 1.290022
1.181053 0.693554 1.252644
-0.447454 0.779002 0.050575
0.642380 1.714106 -0.045011
-0.082241 0.682380 1.014270
1.146581 1.538678 1.341192
0.510468 1.663750 0.162247
-0.131806 1.835012 0.174922
0.085834 1.695807 -0.105457
0.227056 1.932480 -0.106655
0.517481 1.905335 1.327785
-0.233552 1.931734 1.254757
-0.172295 2.096686 1.083745
-0.244510 1.868082 -0.130699
0.816461 1.962302 -0.110492
0.459103 1.828255 0.180099
0.080920 1.154757 -0.258621
-0.194424 1.873771 0.940060
-0.467182 1.970740 -0.259595
0.784031 0.864569 1.096160
1.121924 1.428213 0.718032
-0.149901 1.160358 0.461838
0.028449 0.435249 0.251121
0.644179 1.868414 -0.007413
1.039842 1.379948 0.071931
0.870729 1.584559 0.147490
1.075053 1.600710 1.120491
0.562331 0.931085 -0.100674
-0.074342 1.332168 0.477129
0.227025 2.093410 1.352851
-0.285819 1.543241 0.547879
1.053151 1.717587 0.704002
0.048504 2.091547 1.018823
0.023929 1.279860 1.338238
1.160289 0.631450 0.388339
-0.423896 2.070720 0.095190
-0.189540 1.709645 -0.076639
1.044885 1.146359 0.864141
1.196761 0.929368 0.793703
0.638355 1.982658 0.422254
0.562300 1.242547 0.463312
0.255636 0.411331 0.916170
-0.203440 1.473809 1.065017
0.953151 1.091655 0.137382
0.020495 1.889179 0.947468
-0.222287 1.206058 -0.023403
0.315903 1.989904 1.307115
-0.135895 0.783653 0.886387
-0.038019 1.658758 1.304664
0.427117 2.077623 0.794115
0.976367 1.358174 0.389976
0.918736 1.680577 -0.155136
-0.201618 1.354229 0.432592
1.028365 0.968249 -0.010263
0.539451 1.067437 0.111833
0.083449 0.474909 0.496899
-0.282966 1.745048 0.235822
0.576789 0.861385 0.931290
0.950028 0.640671 1.353776
-0.192396 1.150067 0.182179
0.312865 1.233199 -0.134382
0.559927 1.639465 0.599844
0.809414 1.698402 1.363256
0.931225 1.513263 0.037285
0.892784 1.800578 -0.198487
0.464975 0.896235 -0.102004
0.503979 1.516694 0.135282
1.019126 1.704310 -0.122798
0.742011 1.948763 1.311809
-0.114182 1.983466 1.307731
1.041268 1.686961 0.115527
1.070388 2.098313 0.552093
0.292593 2.004253 0.545546
-0.473332 0.762362 1.277629
0.918396 1.143588 1.236105
-0.075993 0.574576 1.143195
-0.477450 1.979034 0.117160
-0.253816 1.161857 0.088844
0.096466 1.062899 -0.277231
0.135367 1.246583 0.188985
-0.485217 0.960182 -0.004466
-0.299177 0.962039 0.386268
0.128770 1.399585 0.835738
0.212307 0.511263 1.126953
0.349852 1.763323 -0.068050
-0.123363 0.411484 0.383696
0.743642 1.214507 -0.116049
-0.053302 1.973899 0.307117
0.288948 1.268401 0.466288
0.797321 0.723433 1.357530
0.814424 0.942933 0.231597
-0.091179 0.671210 0.783040
0.212560 0.809454 1.304315
0.648111 1.872666 1.390265
-0.140489 1.716215 -0.149253
0.710223 1.260195 -0.045889
-0.259194 1.644912 1.152614
0.471179 1.904787 -0.183103
1.180903 1.734455 1.347271
-0.215787 1.812920 1.019971
0.084582 2.047997 1.220753
0.754961 1.780799 0.074618
0.372183 1.284229 0.531301
0.090795 1.067800 0.115473
-0.247840 1.799680 0.181124
0.220896 1.266761 0.765188
0.740149 1.138885 0.777373
-0.088471 1.629904 1.019239
-0.424468 0.599886 0.021216
0.164288 0.995010 -0.012974
0.709544 1.824500 1.127784
0.721562 1.561418 0.366672
-0.120687 1.267540 0.525692
-0.341477 1.052624 0.056310
0.452768 1.448194 -0.270894
0.957108 1.970977 0.215627
-0.319655 1.011855 0.442747
0.337418 1.980753 1.224794
0.219875 0.496288 0.331621
-0.098801 0.492557 0.864394
0.063536 1.867103 0.013485
0.646263 1.276775 -0.105694
-0.384766 1.293972 0.696460
0.036686 0.473222 0.382916
-0.358995 0.774459 0.087152
-0.458311 1.145651 -0.080151
-0.157969 0.864345 0.388277
0.041101 0.616019 0.207358
-0.135156 1.814943 -0.280134
0.698690 0.584886 0.387870
-0.109216 0.714656 1.319897
0.186711 1.940784 0.964958
-0.314396 1.220038 -0.154053
0.613644 2.098153 1.010608
0.782685 1.919234 0.216188
1.024732 2.065379 0.974480
1.139590 1.366185 -0.236774
-0.126180 1.089043 0.894150
0.686254 0.807617 0.542130
0.268470 2.011351 1.277237
0.496666 1.469052 1.307891
0.070711 1.573491 1.200119
0.875450 1.858296 0.913051
0.533455 1.196917 0.623582
1.118031 0.891181 0.932419
0.146036 1.420688 1.305067
0.888988 0.658952 0.554411
0.699917 0.920250 0.435802
-0.182544 0.750183 0.128083
-0.331173 1.436209 -0.039464
-0.216618 0.419746 0.407861
0.296461 1.342919 0.835749
-0.364260 1.785619 0.542599
0.259017 1.540260 1.036213
0.042239 1.338140 -0.079793
-0.144924 1.837803 1.193147
0.616645 1.419184 1.289585
-0.467138 1.665960 0.580088
0.081416 1.265308 1.063011
0.481560 1.035446 0.157682
-0.229914 1.645943 0.378795
-0.081625 0.597994 -0.228768
0.505764 2.063324 0.449705
-0.377376 1.146221 -0.232299
0.253679 1.342853 0.939625
0.340246 2.095256 0.596161
1.156105 1.273642 0.063793
0.355169 0.433628 -0.138536
0.679632 0.522284 0.916113
0.840070 0.627593 1.252977
0.371119 1.487749 0.303193
-0.232559 0.921222 0.257125
-0.345335 0.419717 1.106370
0.381728 0.978455 0.748911
1.197180 2.093928 1.125095
0.093482 1.851019 1.085320
-0.458073 1.966071 1.150243
-0.069594 1.116692 0.282512
-0.419862 1.477846 0.993277
-0.399307 1.573770 -0.268406
0.713982 1.829584 0.640131
0.634194 1.079151 0.850765
0.017190 0.868267 0.836784
0.989867 0.773576 -0.163313
1.034636 0.800693 0.985133
-0.404397 1.885922 0.124330
-0.219962 1.303663 1.397723
1.105408 1.614425 0.780328
-0.382968 1.992148 1.195795
-0.363646 0.409620 0.209673
-0.406387 1.277310 0.352035
0.322630 0.927118 -0.271940
-0.423919 0.953171 -0.053107
-0.159258 1.744440 0.442122
0.725635 1.565726 0.794217
0.429387 2.040072 -0.030281
0.069220 0.482260 0.413919
0.924098 1.529972 0.003004
0.509587 1.077227 0.054273
-0.470360 0.790437 0.552573
-0.117481 1.074190 0.896714
0.545629 1.833341 0.260576
0.979304 0.731169 -0.184367
0.939706 1.264839 0.775014
-0.226682 1.596551 0.439480
0.148202 1.629349 0.395328
-0.430245 1.530072 0.029984
0.458821 1.802100 0.275862
0.022966 1.594564 0.143432
-0.288925 0.995285 0.902808
-0.165247 1.827155 0.950569
0.700270 1.656062 1.200063
-0.356761 1.037595 -0.184959
0.067272 0.886458 1.216258
